,cell.ID,nucleus.x,nucleus.y,CD15.score.normalized,CK.score.normalized,CD3.score.normalized,CD11c.score.normalized,CD20.score.normalized,CD163.score.normalized,tissue.type,in.ROI.adipose_tissue,in.ROI.necrosis,in.ROI.tumor_tissue
195,267,9585.75,45494.05,0.37,0.0,0.19,0.0,0.17,0.0,stroma,False,False,True
196,268,9834.39,45705.68,0.44,0.0,0.53,0.41,0.06,0.01,stroma,False,False,True
197,269,9531.83,45571.61,0.3,0.9,0.0,0.42,0.25,0.28,tumor,False,False,True
198,270,9743.37,45384.48,0.11,0.89,0.38,0.26,0.06,0.95,stroma,False,False,True
199,271,9536.78,45632.8,0.35,1.59,0.14,0.0,0.11,0.01,stroma,False,False,True
200,272,9435.51,45641.56,0.24,1.0,0.0,0.64,0.12,0.73,stroma,False,False,False
201,273,9498.54,45674.8,0.42,1.02,0.29,0.0,0.2,0.22,tumor,False,False,True
202,274,9796.91,45820.2,0.0,0.69,0.35,0.29,0.17,0.22,stroma,False,False,True
203,275,9796.56,45392.66,0.0,0.65,0.82,0.0,0.05,0.0,stroma,False,False,True
204,276,9451.03,45646.0,0.37,0.02,0.29,0.28,0.02,0.59,stroma,False,False,False
205,277,9686.74,45291.71,0.19,1.15,0.35,0.29,0.11,0.79,stroma,False,False,False
206,278,9626.41,45589.54,0.0,0.0,0.24,0.23,0.18,0.21,stroma,False,False,True
207,279,9896.89,45496.11,0.04,0.67,0.96,0.38,0.01,0.56,stroma,False,False,True
208,280,9903.29,45704.11,0.45,0.89,0.39,0.65,0.23,3.73,stroma,False,False,True
209,281,9974.52,45614.23,0.0,0.44,0.62,0.1,0.06,0.08,stroma,False,False,True
210,282,9938.09,45584.73,0.27,1.53,0.87,0.0,0.12,0.27,tumor,False,False,True
211,283,9895.3,45432.7,0.34,0.35,0.23,0.0,0.0,0.51,stroma,False,False,True
212,284,9501.1,45689.02,0.06,0.51,0.1,0.4,0.16,2.59,tumor,False,False,True
213,285,9505.21,45581.48,0.17,1.59,1.82,0.03,0.19,0.52,tumor,False,False,True
214,286,9887.97,45732.78,0.15,0.92,0.17,0.0,0.07,1.78,stroma,False,False,True
215,287,9434.86,45668.01,0.16,0.8,0.17,0.0,0.1,0.57,stroma,False,False,False
216,288,9649.33,45589.46,0.13,0.0,0.39,0.0,0.12,0.17,stroma,False,False,True
217,289,9489.73,45645.24,0.14,1.08,0.0,0.38,0.18,0.01,tumor,False,False,True
218,290,9970.0,45474.28,0.95,0.11,1.16,0.29,0.08,0.06,stroma,False,False,True
219,291,9700.66,45340.25,0.16,0.06,0.6,0.33,0.03,0.46,stroma,False,False,True
220,292,9666.28,45784.8,0.36,1.65,0.55,0.12,0.11,0.74,tumor,False,False,True
