,cell.ID,nucleus.x,nucleus.y,CD4.score.normalized,CK.score.normalized,CD3.score.normalized,CD56.score.normalized,CD8.score.normalized,FOXP3.score.normalized,tissue.type,in.ROI.adipose_tissue,in.ROI.tumor_tissue
225,614,14524.11,38626.61,1.55,0.42,1.22,0.73,1.97,10.01,stroma,False,True
226,615,14480.41,38337.18,0.31,0.0,0.0,0.12,0.0,0.0,stroma,False,True
227,616,14824.95,38167.19,0.01,0.11,2.51,0.24,1.41,0.61,stroma,False,True
228,617,14769.09,38328.1,0.68,0.37,1.4,0.24,0.46,0.07,stroma,False,True
229,618,14729.34,38457.81,0.32,0.0,0.51,0.13,0.0,0.27,stroma,False,True
230,619,14462.76,38400.97,0.07,0.2,0.37,0.18,0.35,0.09,stroma,False,True
231,620,14451.38,38538.6,1.09,0.64,0.34,0.18,0.63,0.28,tumor,False,True
232,621,14834.59,38095.73,0.28,0.15,0.34,0.15,0.32,0.28,stroma,False,True
233,622,14945.78,38312.42,0.46,0.2,1.21,0.16,0.05,0.01,stroma,False,True
234,623,14634.86,38531.85,0.2,0.24,0.09,0.0,0.2,0.47,stroma,False,True
235,624,14579.83,38259.58,0.23,0.15,0.18,0.08,0.18,0.44,stroma,False,True
236,625,14910.69,38387.11,1.85,0.46,4.16,0.29,0.58,0.18,stroma,False,True
237,626,14988.29,38289.4,0.0,0.19,0.24,0.17,0.09,0.0,stroma,False,True
238,627,14555.2,38192.8,0.38,0.0,0.06,0.0,0.08,0.02,stroma,False,True
239,628,14908.54,38266.4,1.72,0.41,8.79,0.21,1.58,0.56,stroma,False,True
240,629,14821.27,38547.55,0.0,0.13,0.34,0.06,0.12,0.0,stroma,False,True
241,630,14525.04,38608.31,0.18,2.79,0.11,0.29,0.2,0.45,tumor,False,True
242,631,14512.04,38058.41,0.0,0.0,0.1,0.15,0.0,0.0,stroma,False,True
243,632,14702.99,38614.02,0.32,0.7,0.12,0.19,0.94,0.53,stroma,False,True
244,633,14888.98,38619.45,0.0,0.18,0.19,0.07,0.24,0.0,stroma,False,True
245,634,14465.59,38237.99,0.16,0.0,0.0,0.12,0.0,0.16,stroma,False,True
246,635,14808.04,38357.64,0.79,0.39,1.6,0.4,0.47,0.05,stroma,False,True
247,636,14473.52,38484.88,0.81,0.73,0.17,0.24,0.75,0.09,stroma,False,True
248,637,14878.42,38611.47,0.0,0.05,0.0,0.02,0.45,0.07,stroma,False,True
249,638,14585.0,38339.03,0.0,0.08,0.0,0.1,0.06,0.06,stroma,False,True
250,639,14662.27,38282.1,0.0,0.1,0.0,0.08,0.0,0.18,stroma,False,True
251,640,14914.45,38475.2,0.0,0.13,0.04,0.18,0.0,0.0,stroma,False,True
252,641,14572.66,38532.05,1.8,0.9,6.32,0.46,3.08,0.51,tumor,False,True
253,642,14517.76,38500.04,0.77,0.6,0.17,0.15,0.73,0.28,stroma,False,True
254,643,14803.49,38578.56,0.54,0.2,0.16,0.08,0.41,0.05,stroma,False,True
255,644,14904.28,38592.53,0.15,0.14,0.04,0.02,0.26,0.06,stroma,False,True
256,645,14565.94,38412.73,0.08,0.09,0.19,0.12,0.0,0.0,stroma,False,True
257,646,14760.79,38629.36,0.37,0.18,1.65,0.39,3.35,0.36,stroma,False,True
258,647,14500.98,38535.83,0.72,1.13,0.65,0.3,4.1,0.29,tumor,False,True
259,648,14838.23,38208.1,0.29,0.18,1.84,0.36,4.15,0.25,stroma,False,True
260,649,14669.1,38610.87,0.35,2.88,0.07,0.25,0.02,0.0,tumor,False,True
261,650,14798.27,38608.12,0.0,0.0,0.36,0.07,0.04,0.07,stroma,False,True
262,651,14715.67,38239.94,0.48,0.61,0.94,0.27,1.46,0.0,stroma,False,True
